bufferSize downloadTime fileSize
16 2922292 3247297
16 2834863 3247297
16 2511463 3247297
16 7163247 3247297
16 2828837 3247297
32 7197229 3247297
32 2732145 3247297
32 2748305 3247297
32 2771917 3247297
32 2757184 3247297
64 2755986 3247297
64 2789214 3247297
64 2759203 3247297
64 2763764 3247297
64 2811908 3247297
128 2689491 3247297
128 2739104 3247297
128 3271760 3247297
128 2719240 3247297
128 2710251 3247297
256 3149619 3247297
256 2758733 3247297
256 2736934 3247297
256 2647611 3247297
256 2766746 3247297
512 2714314 3247297
512 2673737 3247297
512 2679384 3247297
512 2652581 3247297
512 2667420 3247297
1024 2571228 3247297
1024 2512847 3247297
1024 2530703 3247297
1024 5258774 3247297
1024 2600235 3247297
2048 2334660 3247297
2048 2321540 3247297
2048 2766676 3247297
2048 2357702 3247297
2048 2288560 3247297
4096 1973405 3247297
4096 2194679 3247297
4096 1826279 3247297
4096 2086921 3247297
4096 1910857 3247297
8192 1501480 3247297
8192 1484931 3247297
8192 1534163 3247297
8192 1484810 3247297
8192 1492991 3247297
16384 1235937 3247297
16384 1228440 3247297
16384 1107635 3247297
16384 1227533 3247297
16384 1086118 3247297
32768 1023810 3247297
32768 1038072 3247297
32768 845176 3247297
32768 1004505 3247297
32768 1049266 3247297
65536 824976 3247297
65536 850422 3247297
65536 831156 3247297
65536 858370 3247297
65536 839427 3247297
131072 618613 3247297
131072 618552 3247297
131072 609536 3247297
131072 647883 3247297
131072 629599 3247297
262144 415486 3247297
262144 418020 3247297
262144 407183 3247297
262144 615993 3247297
262144 424028 3247297
524288 419845 3247297
524288 406727 3247297
524288 409943 3247297
524288 421101 3247297
524288 213791 3247297
1048576 212778 3247297
1048576 421132 3247297
1048576 411519 3247297
1048576 213602 3247297
1048576 401467 3247297
2097152 209314 3247297
2097152 228725 3247297
2097152 213940 3247297
2097152 218097 3247297
2097152 215601 3247297
4194304 207943 3247297
4194304 217201 3247297
4194304 217835 3247297
4194304 220822 3247297
4194304 215665 3247297
8388608 210007 3247297
8388608 218991 3247297
8388608 231981 3247297
8388608 213573 3247297
8388608 204632 3247297
16777216 223445 3247297
16777216 243965 3247297
16777216 214298 3247297
16777216 212179 3247297
16777216 231969 3247297
33554432 208982 3247297
33554432 217676 3247297
33554432 217602 3247297
33554432 216909 3247297
33554432 205762 3247297
67108864 212877 3247297
67108864 218097 3247297
67108864 222536 3247297
67108864 213201 3247297
67108864 216327 3247297
134217728 216706 3247297
134217728 214452 3247297
134217728 213467 3247297
134217728 217316 3247297
134217728 216839 3247297
