bufferSize downloadTime fileSize
16 241113 3247297
16 140686 3247297
16 138101 3247297
16 167825 3247297
16 142273 3247297
32 88020 3247297
32 73772 3247297
32 73486 3247297
32 86988 3247297
32 118363 3247297
64 50631 3247297
64 80879 3247297
64 43505 3247297
64 40312 3247297
64 38783 3247297
128 27908 3247297
128 25210 3247297
128 23819 3247297
128 24734 3247297
128 24632 3247297
256 18471 3247297
256 17853 3247297
256 16135 3247297
256 17224 3247297
256 16261 3247297
512 16470 3247297
512 13732 3247297
512 10493 3247297
512 13046 3247297
512 15095 3247297
1024 29447 3247297
1024 24745 3247297
1024 22767 3247297
1024 18965 3247297
1024 13131 3247297
2048 50060 3247297
2048 20048 3247297
2048 15492 3247297
2048 15078 3247297
2048 12861 3247297
4096 12148 3247297
4096 13477 3247297
4096 11719 3247297
4096 10301 3247297
4096 8934 3247297
8192 11185 3247297
8192 11581 3247297
8192 10326 3247297
8192 11523 3247297
8192 10311 3247297
16384 9921 3247297
16384 12033 3247297
16384 9219 3247297
16384 9790 3247297
16384 8695 3247297
32768 10012 3247297
32768 9080 3247297
32768 9676 3247297
32768 7639 3247297
32768 8296 3247297
65536 10459 3247297
65536 9498 3247297
65536 76083 3247297
65536 13181 3247297
65536 13184 3247297
131072 13106 3247297
131072 18740 3247297
131072 15923 3247297
131072 11881 3247297
131072 13709 3247297
262144 14958 3247297
262144 10477 3247297
262144 40040 3247297
262144 14125 3247297
262144 14149 3247297
524288 15656 3247297
524288 16551 3247297
524288 11036 3247297
524288 75900 3247297
524288 12764 3247297
1048576 18628 3247297
1048576 16457 3247297
1048576 13268 3247297
1048576 16997 3247297
1048576 71489 3247297
2097152 20489 3247297
2097152 19162 3247297
2097152 16482 3247297
2097152 14202 3247297
2097152 16338 3247297
4194304 43021 3247297
4194304 8967 3247297
4194304 15453 3247297
4194304 15807 3247297
4194304 130099 3247297
8388608 13441 3247297
8388608 18216 3247297
8388608 14273 3247297
8388608 15651 3247297
8388608 13255 3247297
16777216 16345 3247297
16777216 17085 3247297
16777216 61686 3247297
16777216 13649 3247297
16777216 14044 3247297
33554432 17794 3247297
33554432 14293 3247297
33554432 11744 3247297
33554432 194457 3247297
33554432 958750 3247297
67108864 183200 3247297
67108864 19156 3247297
67108864 14617 3247297
67108864 14679 3247297
67108864 13332 3247297
134217728 12710 3247297
134217728 24274 3247297
134217728 8967 3247297
134217728 9493 3247297
134217728 8001 3247297
