bufferSize downloadTime fileSize
16 228013 3247297
16 139871 3247297
16 145198 3247297
16 185694 3247297
16 148014 3247297
16 132313 3247297
16 145838 3247297
16 134253 3247297
16 153086 3247297
16 162174 3247297
32 90896 3247297
32 81895 3247297
32 74711 3247297
32 80130 3247297
32 81338 3247297
32 77497 3247297
32 73094 3247297
32 81015 3247297
32 91238 3247297
32 70118 3247297
64 50316 3247297
64 51612 3247297
64 51388 3247297
64 51320 3247297
64 53213 3247297
64 45879 3247297
64 109804 3247297
64 44406 3247297
64 52029 3247297
64 51969 3247297
128 31590 3247297
128 62496 3247297
128 26367 3247297
128 66604 3247297
128 26990 3247297
128 30494 3247297
128 48146 3247297
128 25461 3247297
128 24189 3247297
128 24166 3247297
256 18009 3247297
256 19151 3247297
256 21020 3247297
256 16197 3247297
256 16533 3247297
256 17072 3247297
256 16788 3247297
256 16733 3247297
256 50484 3247297
256 30185 3247297
512 16647 3247297
512 17995 3247297
512 319621 3247297
512 151069 3247297
512 28972 3247297
512 177092 3247297
512 133252 3247297
512 143445 3247297
512 143438 3247297
512 85502 3247297
1024 46872 3247297
1024 155317 3247297
1024 174130 3247297
1024 31087 3247297
1024 22609 3247297
1024 32410 3247297
1024 18567 3247297
1024 12820 3247297
1024 11248 3247297
1024 13223 3247297
2048 12729 3247297
2048 9465 3247297
2048 16185 3247297
2048 21604 3247297
2048 20162 3247297
2048 15894 3247297
2048 10871 3247297
2048 10168 3247297
2048 10026 3247297
2048 25135 3247297
4096 13791 3247297
4096 11047 3247297
4096 11061 3247297
4096 9613 3247297
4096 10057 3247297
4096 26667 3247297
4096 20371 3247297
4096 13181 3247297
4096 12183 3247297
4096 10740 3247297
8192 12193 3247297
8192 176251 3247297
8192 20244 3247297
8192 17142 3247297
8192 21418 3247297
8192 17154 3247297
8192 17365 3247297
8192 15085 3247297
8192 11315 3247297
8192 10338 3247297
16384 11689 3247297
16384 9692 3247297
16384 11650 3247297
16384 10105 3247297
16384 9249 3247297
16384 8405 3247297
16384 9391 3247297
16384 8904 3247297
16384 8666 3247297
16384 8695 3247297
32768 9257 3247297
32768 7719 3247297
32768 10272 3247297
32768 18246 3247297
32768 14212 3247297
32768 16338 3247297
32768 16229 3247297
32768 16432 3247297
32768 16293 3247297
32768 16309 3247297
65536 8980 3247297
65536 12904 3247297
65536 7766 3247297
65536 10529 3247297
65536 16234 3247297
65536 13578 3247297
65536 23511 3247297
65536 12684 3247297
65536 12252 3247297
65536 12073 3247297
131072 16558 3247297
131072 14859 3247297
131072 80934 3247297
131072 16897 3247297
131072 24223 3247297
131072 16943 3247297
131072 14828 3247297
131072 8168 3247297
131072 63822 3247297
131072 13535 3247297
262144 15200 3247297
262144 16445 3247297
262144 12546 3247297
262144 10305 3247297
262144 80885 3247297
262144 14217 3247297
262144 12926 3247297
262144 12811 3247297
262144 13459 3247297
262144 12861 3247297
524288 86720 3247297
524288 14895 3247297
524288 14167 3247297
524288 13378 3247297
524288 13469 3247297
524288 105285 3247297
524288 15264 3247297
524288 15338 3247297
524288 13896 3247297
524288 13229 3247297
1048576 15271 3247297
1048576 16426 3247297
1048576 95477 3247297
1048576 14265 3247297
1048576 16581 3247297
1048576 14151 3247297
1048576 14716 3247297
1048576 14433 3247297
1048576 75466 3247297
1048576 8657 3247297
2097152 9323 3247297
2097152 9895 3247297
2097152 6020 3247297
2097152 8395 3247297
2097152 114163 3247297
2097152 13833 3247297
2097152 15069 3247297
2097152 14254 3247297
2097152 13953 3247297
2097152 14333 3247297
4194304 79332 3247297
4194304 15584 3247297
4194304 15628 3247297
4194304 15508 3247297
4194304 15074 3247297
4194304 15293 3247297
4194304 75318 3247297
4194304 167503 3247297
4194304 13675 3247297
4194304 15905 3247297
8388608 15683 3247297
8388608 11751 3247297
8388608 16130 3247297
8388608 13792 3247297
8388608 9050 3247297
8388608 9838 3247297
8388608 13157 3247297
8388608 9396 3247297
8388608 28331 3247297
8388608 15258 3247297
16777216 9166 3247297
16777216 7690 3247297
16777216 10894 3247297
16777216 12779 3247297
16777216 110985 3247297
16777216 184262 3247297
16777216 794248 3247297
16777216 152606 3247297
16777216 147477 3247297
16777216 137660 3247297
33554432 15013 3247297
33554432 18551 3247297
33554432 18141 3247297
33554432 16154 3247297
33554432 14510 3247297
33554432 12454 3247297
33554432 16254 3247297
33554432 16073 3247297
33554432 13090 3247297
33554432 16097 3247297
67108864 18103 3247297
67108864 12767 3247297
67108864 7964 3247297
67108864 8748 3247297
67108864 9356 3247297
67108864 8509 3247297
67108864 8734 3247297
67108864 14193 3247297
67108864 15488 3247297
67108864 14957 3247297
134217728 9058 3247297
134217728 6938 3247297
134217728 9473 3247297
134217728 9591 3247297
134217728 8605 3247297
134217728 14294 3247297
134217728 15670 3247297
134217728 8949 3247297
134217728 158210 3247297
134217728 16021 3247297
