bufferSize downloadTime fileSize
16 3145537 3247297
16 3173452 3247297
16 3158219 3247297
16 3127317 3247297
16 3208401 3247297
16 3188581 3247297
16 3159942 3247297
16 3130820 3247297
16 3184024 3247297
16 3239187 3247297
16 3395507 3247297
16 3737903 3247297
16 7544257 3247297
16 3643572 3247297
16 7620487 3247297
16 7110542 3247297
16 5712402 3247297
16 4441741 3247297
16 4302355 3247297
16 6146119 3247297
32 7382471 3247297
32 5949629 3247297
32 3970454 3247297
32 4229833 3247297
32 5931520 3247297
32 4811735 3247297
32 6204893 3247297
32 4636228 3247297
32 7519444 3247297
32 7308379 3247297
32 4923957 3247297
32 7451910 3247297
32 8635426 3247297
32 6589776 3247297
32 7451243 3247297
32 4906590 3247297
32 7433200 3247297
32 5061537 3247297
32 5934617 3247297
32 6748881 3247297
64 7369907 3247297
64 4511244 3247297
64 6073281 3247297
64 4660469 3247297
64 5836683 3247297
64 4620448 3247297
64 7385987 3247297
64 4493909 3247297
64 5857632 3247297
64 4533689 3247297
64 7301170 3247297
64 4579503 3247297
64 5927662 3247297
64 4467835 3247297
64 5445380 3247297
64 6059989 3247297
64 4506564 3247297
64 4665990 3247297
64 4727432 3247297
64 7458699 3247297
128 4322038 3247297
128 5833047 3247297
128 5857866 3247297
128 5768616 3247297
128 4254505 3247297
128 4177048 3247297
128 4151682 3247297
128 4414960 3247297
128 6204694 3247297
128 4337268 3247297
128 7313933 3247297
128 4186990 3247297
128 6089371 3247297
128 4226412 3247297
128 9377476 3247297
128 4204385 3247297
128 4910138 3247297
128 3792080 3247297
128 4282826 3247297
128 3617032 3247297
256 4744337 3247297
256 3675564 3247297
256 7394003 3247297
256 7378526 3247297
256 3641066 3247297
256 7219932 3247297
256 3721892 3247297
256 4851257 3247297
256 5967736 3247297
256 3586897 3247297
256 5821305 3247297
256 6027527 3247297
256 3720704 3247297
256 3814946 3247297
256 5913934 3247297
256 3663561 3247297
256 3628280 3247297
256 7255823 3247297
256 3658986 3247297
256 5392756 3247297
512 7465120 3247297
512 3758742 3247297
512 3630075 3247297
512 5776691 3247297
512 3713231 3247297
512 3593239 3247297
512 3679098 3247297
512 4090934 3247297
512 3748756 3247297
512 7210327 3247297
512 3645313 3247297
512 4273340 3247297
512 5899024 3247297
512 3550397 3247297
512 7280411 3247297
512 5913518 3247297
512 3536579 3247297
512 5875320 3247297
512 4261086 3247297
512 3554928 3247297
1024 7065163 3247297
1024 6997195 3247297
1024 7138356 3247297
1024 5486996 3247297
1024 4495660 3247297
1024 3405265 3247297
1024 5608796 3247297
1024 3489941 3247297
1024 4219583 3247297
1024 6975246 3247297
1024 7091000 3247297
1024 3412492 3247297
1024 3608244 3247297
1024 7170925 3247297
1024 5567803 3247297
1024 7123136 3247297
1024 3397565 3247297
1024 5993928 3247297
1024 3395296 3247297
1024 3370964 3247297
2048 3478167 3247297
2048 3161938 3247297
2048 3403921 3247297
2048 3153937 3247297
2048 5574423 3247297
2048 6185338 3247297
2048 5308922 3247297
2048 5175025 3247297
2048 6459064 3247297
2048 5149547 3247297
2048 6738419 3247297
2048 3205685 3247297
2048 5555875 3247297
2048 5319021 3247297
2048 7377761 3247297
2048 3536687 3247297
2048 3970291 3247297
2048 3415995 3247297
2048 5238208 3247297
2048 3384319 3247297
4096 6148686 3247297
4096 5265542 3247297
4096 4625548 3247297
4096 5471233 3247297
4096 6141237 3247297
4096 2774948 3247297
4096 3062910 3247297
4096 2619586 3247297
4096 2875637 3247297
4096 2985290 3247297
4096 2805174 3247297
4096 4978982 3247297
4096 3031125 3247297
4096 5025312 3247297
4096 2718080 3247297
4096 3475396 3247297
4096 3365505 3247297
4096 2703889 3247297
4096 4586104 3247297
4096 2972828 3247297
8192 1902511 3247297
8192 2412308 3247297
8192 2179622 3247297
8192 3231900 3247297
8192 2614432 3247297
8192 1891400 3247297
8192 3238730 3247297
8192 3298423 3247297
8192 1865546 3247297
8192 3201586 3247297
8192 4152751 3247297
8192 4126556 3247297
8192 3188620 3247297
8192 3253260 3247297
8192 2253252 3247297
8192 3549192 3247297
8192 5165293 3247297
8192 2678580 3247297
8192 1968709 3247297
8192 4485737 3247297
16384 1926612 3247297
16384 1752852 3247297
16384 2127780 3247297
16384 1795848 3247297
16384 1433613 3247297
16384 1287664 3247297
16384 1984921 3247297
16384 1338480 3247297
16384 2001430 3247297
16384 2217840 3247297
16384 2201749 3247297
16384 1305160 3247297
16384 2125748 3247297
16384 1767265 3247297
16384 1542652 3247297
16384 1562437 3247297
16384 2873779 3247297
16384 1477298 3247297
16384 1559523 3247297
16384 3289987 3247297
32768 1076694 3247297
32768 1160752 3247297
32768 1707098 3247297
32768 1114615 3247297
32768 1919344 3247297
32768 1334461 3247297
32768 1084576 3247297
32768 1288722 3247297
32768 1105184 3247297
32768 1023199 3247297
32768 1485167 3247297
32768 1093279 3247297
32768 1093865 3247297
32768 1190902 3247297
32768 1024459 3247297
32768 1434645 3247297
32768 1071896 3247297
32768 1048364 3247297
