bufferSize downloadTime fileSize fileName
16 2824891 3247297 kitten.png
16 2699992 3247297 kitten.png
16 2746561 3247297 kitten.png
16 2742595 3247297 kitten.png
16 2751236 3247297 kitten.png
16 3155172 3247297 kitten.png
16 2685879 3247297 kitten.png
16 2695872 3247297 kitten.png
16 2757941 3247297 kitten.png
16 7135358 3247297 kitten.png
16 4832922 3247297 kitten.png
16 7161949 3247297 kitten.png
16 4497607 3247297 kitten.png
16 4150872 3247297 kitten.png
16 5698546 3247297 kitten.png
16 4501547 3247297 kitten.png
16 4094391 3247297 kitten.png
16 4000857 3247297 kitten.png
16 3961937 3247297 kitten.png
16 3899528 3247297 kitten.png
32 3846853 3247297 kitten.png
32 4196471 3247297 kitten.png
32 3841647 3247297 kitten.png
32 3823253 3247297 kitten.png
32 3826058 3247297 kitten.png
32 3840997 3247297 kitten.png
32 3836845 3247297 kitten.png
32 3940183 3247297 kitten.png
32 6162261 3247297 kitten.png
32 3855919 3247297 kitten.png
32 3954522 3247297 kitten.png
32 6736794 3247297 kitten.png
32 3869969 3247297 kitten.png
32 4935831 3247297 kitten.png
32 4276372 3247297 kitten.png
32 4120198 3247297 kitten.png
32 4548194 3247297 kitten.png
32 7290996 3247297 kitten.png
32 4543046 3247297 kitten.png
32 4463650 3247297 kitten.png
64 4113953 3247297 kitten.png
64 4051604 3247297 kitten.png
64 3965141 3247297 kitten.png
64 3922819 3247297 kitten.png
64 3874879 3247297 kitten.png
64 3791391 3247297 kitten.png
64 3854084 3247297 kitten.png
64 5908343 3247297 kitten.png
64 3928296 3247297 kitten.png
64 4286163 3247297 kitten.png
64 4181077 3247297 kitten.png
64 3671035 3247297 kitten.png
64 3639343 3247297 kitten.png
64 3746215 3247297 kitten.png
64 3767068 3247297 kitten.png
64 5753670 3247297 kitten.png
64 4392988 3247297 kitten.png
64 4150044 3247297 kitten.png
64 4011584 3247297 kitten.png
64 4403043 3247297 kitten.png
128 3756169 3247297 kitten.png
128 3751528 3247297 kitten.png
128 3744754 3247297 kitten.png
128 3801015 3247297 kitten.png
128 3969817 3247297 kitten.png
128 3359942 3247297 kitten.png
128 3297978 3247297 kitten.png
128 3331729 3247297 kitten.png
128 3463984 3247297 kitten.png
128 3608644 3247297 kitten.png
128 3765662 3247297 kitten.png
128 3517745 3247297 kitten.png
128 3658769 3247297 kitten.png
128 3309858 3247297 kitten.png
128 3629224 3247297 kitten.png
128 4390333 3247297 kitten.png
128 4013375 3247297 kitten.png
128 3971360 3247297 kitten.png
128 3937316 3247297 kitten.png
128 3920098 3247297 kitten.png
256 3842866 3247297 kitten.png
256 4283524 3247297 kitten.png
256 3876408 3247297 kitten.png
256 3923104 3247297 kitten.png
256 3822608 3247297 kitten.png
256 3860630 3247297 kitten.png
256 3860744 3247297 kitten.png
256 3827082 3247297 kitten.png
256 3787494 3247297 kitten.png
256 3835845 3247297 kitten.png
256 3863487 3247297 kitten.png
256 3896749 3247297 kitten.png
256 3803154 3247297 kitten.png
256 3872404 3247297 kitten.png
256 4210579 3247297 kitten.png
256 5001877 3247297 kitten.png
256 4357356 3247297 kitten.png
256 4366644 3247297 kitten.png
256 4120391 3247297 kitten.png
256 4025593 3247297 kitten.png
512 3995385 3247297 kitten.png
512 3920549 3247297 kitten.png
512 3886582 3247297 kitten.png
512 3908052 3247297 kitten.png
512 4264657 3247297 kitten.png
512 3809220 3247297 kitten.png
512 3828228 3247297 kitten.png
512 3771627 3247297 kitten.png
512 3878927 3247297 kitten.png
512 3838516 3247297 kitten.png
512 4071914 3247297 kitten.png
512 4364853 3247297 kitten.png
512 4476410 3247297 kitten.png
