bufferSize downloadTime fileSize
16384 13808438 141557760
16384 14852197 141557760
16384 15750423 141557760
16384 11646714 141557760
16384 11387019 141557760
32768 6786075 141557760
32768 7209462 141557760
32768 8333701 141557760
32768 8288396 141557760
32768 7359164 141557760
65536 4944906 141557760
65536 4875766 141557760
65536 5696573 141557760
65536 4135780 141557760
65536 4414869 141557760
131072 3733325 141557760
131072 3351196 141557760
131072 3457059 141557760
131072 3725349 141557760
131072 3944784 141557760
262144 2530784 141557760
262144 2682536 141557760
262144 2159932 141557760
262144 2671032 141557760
262144 2804922 141557760
524288 1813258 141557760
524288 2429423 141557760
524288 2314380 141557760
524288 3015798 141557760
524288 1770829 141557760
1048576 1596529 141557760
1048576 1585479 141557760
1048576 1563040 141557760
1048576 1557237 141557760
1048576 2251197 141557760
2097152 1618357 141557760
2097152 1670112 141557760
2097152 2054482 141557760
2097152 1463090 141557760
2097152 1569056 141557760
4194304 1677051 141557760
4194304 1306150 141557760
4194304 1456707 141557760
4194304 1338733 141557760
4194304 1446642 141557760
8388608 1531696 141557760
8388608 1514001 141557760
8388608 1112222 141557760
8388608 1461703 141557760
8388608 1308350 141557760
16777216 1341139 141557760
16777216 1109239 141557760
16777216 1159950 141557760
16777216 1450488 141557760
16777216 1254589 141557760
33554432 1063995 141557760
33554432 1307773 141557760
33554432 1231225 141557760
33554432 1263363 141557760
33554432 1358247 141557760
67108864 1127601 141557760
67108864 1048995 141557760
67108864 1509280 141557760
67108864 1400492 141557760
67108864 1295488 141557760
134217728 1449271 141557760
134217728 1272368 141557760
134217728 1113810 141557760
134217728 1083119 141557760
134217728 1303200 141557760
