bufferSize downloadTime fileSize
65536 22657 3247297
65536 21775 3247297
65536 14800 3247297
65536 17403 3247297
65536 14653 3247297
65536 14646 3247297
131072 15065 3247297
131072 18288 3247297
131072 24283 3247297
131072 17021 3247297
131072 15184 3247297
131072 15620 3247297
131072 15916 3247297
131072 15072 3247297
131072 14520 3247297
131072 15571 3247297
131072 22643 3247297
131072 16098 3247297
131072 15054 3247297
131072 15291 3247297
131072 21798 3247297
131072 18147 3247297
131072 16936 3247297
131072 20247 3247297
131072 22445 3247297
131072 16435 3247297
262144 18444 3247297
262144 14885 3247297
262144 14949 3247297
262144 14991 3247297
262144 14460 3247297
262144 18356 3247297
262144 20331 3247297
262144 18045 3247297
262144 15364 3247297
262144 19771 3247297
262144 27039 3247297
262144 24964 3247297
262144 22767 3247297
262144 28072 3247297
262144 22444 3247297
262144 17903 3247297
262144 15796 3247297
262144 16098 3247297
262144 15016 3247297
262144 15026 3247297
524288 17262 3247297
524288 15138 3247297
524288 15550 3247297
524288 15166 3247297
524288 15343 3247297
524288 15459 3247297
524288 15367 3247297
524288 15286 3247297
524288 16204 3247297
524288 14891 3247297
524288 15142 3247297
524288 14856 3247297
524288 16686 3247297
524288 14830 3247297
524288 15862 3247297
524288 16164 3247297
524288 14659 3247297
524288 14769 3247297
524288 16669 3247297
524288 19528 3247297
1048576 17518 3247297
1048576 23159 3247297
1048576 24093 3247297
1048576 15560 3247297
1048576 69801 3247297
1048576 38137 3247297
1048576 45346 3247297
1048576 46681 3247297
1048576 39389 3247297
1048576 40679 3247297
1048576 44323 3247297
1048576 65720 3247297
1048576 56549 3247297
1048576 19581 3247297
1048576 28286 3247297
1048576 30826 3247297
1048576 25414 3247297
1048576 16142 3247297
1048576 16263 3247297
1048576 20165 3247297
2097152 85172 3247297
2097152 39477 3247297
2097152 50127 3247297
2097152 42718 3247297
2097152 42343 3247297
2097152 36517 3247297
2097152 38872 3247297
2097152 42245 3247297
2097152 42262 3247297
2097152 38846 3247297
2097152 38068 3247297
2097152 39844 3247297
2097152 45656 3247297
2097152 49714 3247297
2097152 63719 3247297
2097152 23911 3247297
2097152 25518 3247297
2097152 26802 3247297
2097152 24173 3247297
2097152 17789 3247297
4194304 16443 3247297
4194304 18191 3247297
4194304 26831 3247297
4194304 16370 3247297
4194304 15430 3247297
4194304 15058 3247297
4194304 17971 3247297
4194304 22232 3247297
4194304 17877 3247297
4194304 17187 3247297
4194304 20792 3247297
4194304 21337 3247297
4194304 20039 3247297
4194304 19184 3247297
4194304 20219 3247297
4194304 24824 3247297
4194304 18912 3247297
4194304 17645 3247297
4194304 16324 3247297
4194304 20831 3247297
8388608 21151 3247297
8388608 20237 3247297
8388608 17795 3247297
8388608 16742 3247297
8388608 15164 3247297
8388608 14208 3247297
8388608 14145 3247297
8388608 13950 3247297
8388608 15333 3247297
8388608 14021 3247297
8388608 15479 3247297
8388608 14124 3247297
8388608 15510 3247297
8388608 14866 3247297
8388608 13953 3247297
8388608 14669 3247297
8388608 35489 3247297
8388608 36503 3247297
8388608 44433 3247297
8388608 39406 3247297
16777216 39600 3247297
16777216 35415 3247297
16777216 119149 3247297
16777216 46574 3247297
16777216 38980 3247297
16777216 37819 3247297
16777216 45064 3247297
16777216 615449 3247297
16777216 133659 3247297
16777216 39758 3247297
16777216 33504 3247297
16777216 16902 3247297
16777216 14105 3247297
16777216 13964 3247297
16777216 13910 3247297
16777216 17351 3247297
16777216 21242 3247297
16777216 15904 3247297
16777216 15276 3247297
16777216 17101 3247297
33554432 15824 3247297
33554432 16626 3247297
33554432 15060 3247297
33554432 14187 3247297
33554432 14434 3247297
33554432 15679 3247297
33554432 14273 3247297
33554432 14312 3247297
33554432 15124 3247297
33554432 14318 3247297
33554432 14167 3247297
33554432 15930 3247297
33554432 14394 3247297
33554432 14254 3247297
33554432 14272 3247297
33554432 18344 3247297
33554432 14127 3247297
33554432 15352 3247297
33554432 14235 3247297
33554432 14458 3247297
67108864 15460 3247297
67108864 13915 3247297
67108864 15268 3247297
67108864 14109 3247297
67108864 15108 3247297
67108864 14306 3247297
67108864 14551 3247297
67108864 23715 3247297
67108864 15700 3247297
67108864 14644 3247297
67108864 16738 3247297
67108864 15259 3247297
67108864 26367 3247297
67108864 26732 3247297
67108864 22156 3247297
67108864 15646 3247297
67108864 17275 3247297
67108864 16416 3247297
67108864 14455 3247297
67108864 14491 3247297
134217728 15161 3247297
134217728 14219 3247297
134217728 14290 3247297
134217728 17926 3247297
134217728 14498 3247297
134217728 14487 3247297
134217728 14629 3247297
134217728 16700 3247297
134217728 14580 3247297
134217728 51569 3247297
134217728 38259 3247297
134217728 43532 3247297
134217728 994745 3247297
134217728 177732 3247297
134217728 40246 3247297
134217728 37392 3247297
134217728 42363 3247297
134217728 36563 3247297
134217728 32511 3247297
134217728 26467 3247297
